,intent,text,seeds,label,is_invalid
1869,phone,i am looking for the phone number of my bank,what's my bank's phone number,0,
1870,phone,is there a phone number i can call to reach my bank,what's my bank's phone number,0,
1873,phone,can you please provide the name of your bank so that i can assist you better,what's the phone number of my bank,0,
1890,phone,im sorry i cannot provide the phone number of your bank without knowing the name of your bank,what's the phone number of my bank,0,X
1891,phone,i need to find the phone number of my bank,what's the phone number of my bank,0,
1895,phone,can you please give me the phone number for my bank,what's my bank's phone number,0,
1924,phone,i am trying to find the phone number for my bank,what's my bank's phone number,0,
1940,phone,im sorry but i cannot provide you with your banks phone number as i dont have access to it please provide it to me so i can assist you better,what's my bank's phone number,0,X
1956,phone,whats the name of your bank,what's the phone number of my bank,0,X
1959,phone,could you please provide me with the contact details of my bank including their phone number,what's my bank's phone number,0,X
1975,phone,can you please provide more information about the phone number you are looking for,what's the phone number of my bank,0,X
2000,phone,i cannot remember the phone number of my bank,what's the phone number of my bank,0,
2046,phone,can you please provide the phone number for my bank,what's my bank's phone number,0,
2047,phone,could you please provide me with the phone number of my bank,what's the phone number of my bank,0,
2092,phone,please provide me with your banks phone number so that i can assist you better,what's my bank's phone number,0,X
2119,phone,please try contacting your bank directly for the phone number,what's the phone number of my bank,0,X
2120,phone,do you know the name of the bank or the location,what's the phone number of my bank,0,X
2131,phone,what is the number i can call to reach my bank,what's my bank's phone number,0,
2164,phone,what is the number to call for customer service at my bank,what number do i call to reach my bank,0,
2168,phone,can you tell me the last four digits of your bank account number,what's my bank's phone number,0,X
2233,phone,would you be able to tell me the phone number of my bank,what's my bank's phone number,0,
2237,phone,im sorry but i am an ai language model and i do not have access to your personal information such as your bank account number please contact your banks customer support for assistance,what's the phone number of my bank,0,X
2251,phone,what specific information or assistance do you need regarding your bank account,what number do i call to reach my bank,0,X
2253,phone,could you provide me with the phone number of my bank,what's my bank's phone number,0,
2262,phone,what is the name of my bank,what's my bank's phone number,0,X
2273,phone,can you please provide me with the phone number of my bank,what's my bank's phone number,0,
2287,phone,what are the customer service phone numbers for my bank,what number do i call to reach my bank,0,
2324,phone,im sorry but i cannot answer your question without more specific information about the phone number you are looking for,what's the phone number of my bank,0,X
2334,phone,im sorry but as an ai language model i do not have access to your personal information such as your banks phone number,what's the phone number of my bank,0,X
2335,phone,what are the hours of operation for my banks customer service,what's the phone number of my bank,0,X
2341,phone,how can i help you with your phone number,what's the phone number of my bank,0,
2342,phone,what is the direct line to my bank,what number do i call to reach my bank,0,
2343,phone,what is the specific reason for your call,what number do i call to reach my bank,0,
2373,phone,i am having trouble finding the phone number of my bank,what's the phone number of my bank,0,
2380,phone,what is the phone number i can use to reach my bank,what number do i call to reach my bank,0,
2386,phone,please let me know the phone number of your bank,what number do i call to reach my bank,0,X
2391,phone,what is the number to reach my bank,what number do i call to reach my bank,0,
2404,phone,please let me know how i can assist you with your bank account,what number do i call to reach my bank,0,X
2422,phone,i am sorry i cannot answer that question without more information about your bank,what's the phone number of my bank,0,X
2424,phone,can you kindly provide me with the phone number of my bank,what's the phone number of my bank,0,
2435,phone,what is the reason for your call,what number do i call to reach my bank,0,X
2484,phone,what is your account number,what number do i call to reach my bank,0,
2516,phone,how can i get in touch with my bank,what's my bank's phone number,0,
2538,phone,would you like me to try and look up the phone number for you,what's the phone number of my bank,0,
2547,phone,could you provide the phone number for my bank,what's my bank's phone number,0,
2554,phone,how can i assist you with your inquiry,what number do i call to reach my bank,0,
2557,phone,could you please provide me with the name of your bank so that i can assist you better,what's my bank's phone number,0,X
2568,phone,are you calling to inquire about your balance transfer funds or report a suspicious activity,what number do i call to reach my bank,0,X
2571,phone,i am sorry i am an ai language model and do not have access to your bank account information please contact your bank directly for assistance,what's my bank's phone number,0,X
2572,phone,im sorry i dont have access to your banks phone number can you provide it to me,what's my bank's phone number,0,X
2581,phone,can you assist me with obtaining the phone number of my bank,what's the phone number of my bank,0,
2588,phone,what is the phone number i should call to reach my bank,what number do i call to reach my bank,0,
2589,phone,could you tell me the name of your bank,what's the phone number of my bank,0,
2593,phone,please provide the name of your bank or the phone number you want to reach,what number do i call to reach my bank,0,
2595,phone,i need to get in touch with my bank and would like to know their phone number,what's the phone number of my bank,0,
2609,phone,would you please tell me the phone number of my bank,what's the phone number of my bank,0,
2633,phone,how can i help you with your bank account,what number do i call to reach my bank,0,
2704,phone,can you tell me the date of birth of the primary account holder,what's my bank's phone number,0,
2721,phone,would you kindly share my banks phone number with me,what's my bank's phone number,0,
2755,phone,what is the contact number of your bank,what number do i call to reach my bank,0,
2772,phone,can you please tell me the city and state where your bank is located,what's my bank's phone number,0,
2775,phone,im sorry i cannot answer that question as i do not have access to your personal information,what's the phone number of my bank,0,X
2785,phone,can you tell me the phone number for my bank,what number do i call to reach my bank,0,
2812,phone,could you please tell me the phone number of your bank,what's the phone number of my bank,0,
2825,phone,i would like to know my banks phone number,what's my bank's phone number,0,
2829,phone,im sorry but i dont have access to your personal account information can you please contact your bank directly for assistance,what's my bank's phone number,0,X
2835,phone,thank you for your inquiry have a nice day,what's my bank's phone number,0,X
2844,phone,please tell me the phone number of your bank,what's my bank's phone number,0,
2875,phone,what is the purpose of your inquiry,what's my bank's phone number,0,X
2877,phone,what is the contact number of your bank,what's the phone number of my bank,0,
2926,phone,what is my banks contact number,what's my bank's phone number,0,
2952,phone,please provide me the phone number of your bank,what's the phone number of my bank,0,
2961,phone,may i assist you with something else,what's the phone number of my bank,0,X
2969,phone,can you give me the phone number for my bank,what's my bank's phone number,0,
2972,phone,alternatively you can try searching for the phone number on search engines or contacting your banks customer support through social media channels,what number do i call to reach my bank,0,X
2973,phone,what is the phone number of your bank,what's my bank's phone number,0,
2975,phone,whats the phone number of your bank,what's the phone number of my bank,0,
2979,phone,what is the support number for my bank,what number do i call to reach my bank,0,
2991,phone,can you please provide me with your phone number so that i can call your bank and get the phone number for you,what's the phone number of my bank,0,X
2992,phone,can you please tell me the phone number of your bank,what's the phone number of my bank,0,
2997,phone,what is the helpline number for your bank,what's the phone number of my bank,0,
3019,phone,can you tell me the number to reach my bank,what number do i call to reach my bank,0,
3035,phone,i apologize but as an ai language model i dont have access to your banks phone number please provide it to me so i can assist you better,what's my bank's phone number,0,X
3037,phone,im sorry but i dont have access to your personal information however you can check the banks website or app for their customer service contact information,what number do i call to reach my bank,0,X
3042,phone,what is the phone number i can call to reach my bank,what number do i call to reach my bank,0,
3072,phone,please provide me with the location of your bank branch,what's the phone number of my bank,0,
3101,phone,whats my banks contact number,what's my bank's phone number,0,
3102,phone,i would like to know the phone number of your bank,what's the phone number of my bank,0,X
3108,phone,can you please provide me with the contact details for my bank,what's my bank's phone number,0,
3127,phone,i want to contact my bank can you provide me with their phone number,what number do i call to reach my bank,0,
3160,phone,the phone number of my bank is 1234567890,what's the phone number of my bank,0,X
3178,phone,i am sorry i cannot provide you with the phone number of your bank as i do not have access to your personal information,what's the phone number of my bank,0,X
3218,phone,could you please give me the phone number of your bank,what's my bank's phone number,0,
3233,phone,can you please give me the phone number of your bank,what's my bank's phone number,0,
3236,phone,whats the number for your bank,what's the phone number of my bank,0,X
3256,phone,can you please confirm your banks name once more,what's the phone number of my bank,0,X
3294,phone,could you please provide me with the phone number for my bank,what number do i call to reach my bank,0,
3306,phone,could you please tell me the phone number for my bank,what's my bank's phone number,0,
3316,phone,may i know the name of your bank so i can look up their phone number for you,what's the phone number of my bank,0,X
3332,phone,could you tell me the phone number for my bank,what's my bank's phone number,0,
3346,phone,i am sorry i am an ai language model and i do not have access to your personal information please provide me with your banks phone number,what's my bank's phone number,0,X
3355,phone,can you please provide me with the contact number of my bank,what's my bank's phone number,0,
3386,phone,im sorry i dont have access to your banks phone number is there anything else i can assist you with,what's the phone number of my bank,0,X
3416,phone,if you are still unable to find the contact information you can try visiting a local branch of your bank for assistance,what number do i call to reach my bank,0,X
3419,phone,please give me the phone number of my bank,what's the phone number of my bank,0,
3421,phone,i need to reach my bank what is the number,what number do i call to reach my bank,0,
3423,phone,can you please provide me with my banks phone number,what's my bank's phone number,0,
3429,phone,what is the customer service number for your bank,what's the phone number of my bank,0,
3444,phone,my banks phone number is not working,what's my bank's phone number,0,X
3448,phone,please provide me with the contact information for your bank,what's the phone number of my bank,0,X
3492,phone,i dont have information about your banks phone number please try contacting your bank directly for assistance,what's my bank's phone number,0,X
3526,phone,i need to reach my bank what is their phone number,what number do i call to reach my bank,0,
3531,phone,what is the phone number of your bank,what's the phone number of my bank,0,
3566,phone,i have a question about my bank account can you give me the phone number to contact customer service,what number do i call to reach my bank,0,
3579,phone,my banks phone number is 1234567890,what's the phone number of my bank,0,X
3600,phone,im sorry i cannot provide a phone number for a specific branch of your bank without knowing the name and location,what's the phone number of my bank,0,X
3614,phone,im sorry but i dont have access to your banks phone number can you please provide it to me,what's my bank's phone number,0,X
3622,phone,what is the best way to reach my bank,what number do i call to reach my bank,0,
3630,phone,i would like to speak to someone from my bank can you provide me with their phone number,what number do i call to reach my bank,0,
3633,phone,i am unable to reach my bank by phone,what's my bank's phone number,0,
3635,phone,im sorry i dont have access to your bank account information please contact your bank directly for assistance,what's my bank's phone number,0,X
3668,phone,how can i assist you better,what's the phone number of my bank,0,X
3674,phone,i need the contact details for my bank,what's my bank's phone number,0,
3680,phone,can you provide me with the contact number for my bank,what number do i call to reach my bank,0,
3706,phone,i need to contact my bank urgently,what's my bank's phone number,0,
3708,phone,can you please confirm your account number,what's the phone number of my bank,0,
3721,phone,whats my banks phone number,what's my bank's phone number,0,
3726,phone,id like to know the phone number of my bank,what's my bank's phone number,0,
3758,phone,im sorry but as an ai language model i do not have access to your personal information,what's the phone number of my bank,0,X
3759,phone,what is the number to call to reach my bank,what number do i call to reach my bank,0,
3780,phone,to reach your banks customer service you can call the number provided on their website or app,what number do i call to reach my bank,0,X
3781,phone,can you provide the contact details for my bank,what number do i call to reach my bank,0,
3785,phone,i need to reach my bank can you give me their phone number,what number do i call to reach my bank,0,
3793,phone,how can i help you,what's the phone number of my bank,0,
3801,phone,can you please provide me with your banks name and location,what's my bank's phone number,0,
3805,phone,what is the direct line to my bank,what's the phone number of my bank,0,
3822,phone,how do i reach my bank through a phone call,what number do i call to reach my bank,0,
3842,phone,what phone number should i use to reach my bank,what number do i call to reach my bank,0,
3853,phone,can you provide me with my banks contact information,what's my bank's phone number,0,
3862,phone,may i have the phone number for your bank,what's the phone number of my bank,0,
3880,phone,what is the contact number of my bank,what's my bank's phone number,0,
3907,phone,may i assist you with anything else,what's the phone number of my bank,0,
3911,phone,please note that i am an ai language model and do not have access to realtime information about your banks phone numbers i suggest you check the banks website or contact their customer service for assistance,what's the phone number of my bank,0,X
3935,phone,would you please share the phone number of my bank,what's my bank's phone number,0,
4,appointment,could you please introduce me to a bank representative,i would like to meet with a bank representative,1,
13,appointment,im looking to speak with a bank representative,i would like to meet with a bank representative,1,
14,appointment,could you please schedule a meeting with a bank representative for me,i would like to meet with a bank representative,1,
33,appointment,i would like to speak with a bank representative,i would like to meet with a bank representative,1,
41,appointment,you may also visit the nearest branch to set up an appointment with a bank representative,how do i set up an appointment at the bank?,1,X
46,appointment,would you like me to search for available bank representatives in your area,i would like to meet with a bank representative,1,X
55,appointment,when would you like to set up the appointment,how do i set up an appointment at the bank?,1,X
58,appointment,what is the purpose of the appointment,how do i set up an appointment at the bank?,1,X
63,appointment,can you provide more details about your request to meet with a bank representative,i would like to meet with a bank representative,1,X
71,appointment,how can i schedule a meeting with the bank,how do i set up an appointment at the bank?,1,
76,appointment,can i make an appointment with a bank representative,can i schedule an appointment with someone at the bank?,1,
84,appointment,i need to speak with a bank representative,i would like to meet with a bank representative,1,
91,appointment,can you please provide me with more information regarding the type of appointment you need,can i schedule an appointment with someone at the bank?,1,X
95,appointment,would it be possible to schedule an appointment with someone at the bank,can i schedule an appointment with someone at the bank?,1,
99,appointment,would you like to set up an appointment for a specific date and time,how do i set up an appointment at the bank?,1,
109,appointment,are you looking to schedule a meeting with a bank representative for a specific reason,i would like to meet with a bank representative,1,X
119,appointment,what are the steps to set up an appointment at the bank,how do i set up an appointment at the bank?,1,
142,appointment,i would like to talk to a bank representative,i would like to meet with a bank representative,1,
150,appointment,can i schedule a consultation with someone from the bank,can i schedule an appointment with someone at the bank?,1,
160,appointment,can you please schedule a meeting with a bank representative,i would like to meet with a bank representative,1,
162,appointment,i need to discuss my finances with a bank representative,i would like to meet with a bank representative,1,
171,appointment,i would like to schedule a meeting with a bank representative,i would like to meet with a bank representative,1,
182,appointment,i would like to schedule an appointment with a bank representative is that possible,can i schedule an appointment with someone at the bank?,1,
185,appointment,how can i assist you with meeting with a bank representative,i would like to meet with a bank representative,1,
196,appointment,can i arrange a meeting with a bank representative,i would like to meet with a bank representative,1,
204,appointment,can you please let me know if you would like to schedule a meeting with a bank representative,i would like to meet with a bank representative,1,
231,appointment,when can i schedule an appointment with someone at the bank,can i schedule an appointment with someone at the bank?,1,
239,appointment,can i set up an appointment with someone at the bank,can i schedule an appointment with someone at the bank?,1,
254,appointment,can you tell me how to schedule an appointment with the bank,how do i set up an appointment at the bank?,1,
263,appointment,i am looking to meet with a bank representative,i would like to meet with a bank representative,1,
268,appointment,i am seeking to speak with a bank representative,i would like to meet with a bank representative,1,
294,appointment,im sorry i cannot assist you with that,i would like to meet with a bank representative,1,X
298,appointment,i would like to speak with a representative from the bank,i would like to meet with a bank representative,1,
311,appointment,can you please specify the purpose of the appointment,can i schedule an appointment with someone at the bank?,1,X
318,appointment,do you have any specific questions or concerns that you would like to address with a bank representative,i would like to meet with a bank representative,1,X
319,appointment,could i book an appointment with a bank representative,can i schedule an appointment with someone at the bank?,1,
329,appointment,how can i arrange an appointment at the bank,how do i set up an appointment at the bank?,1,
341,appointment,i would like to schedule an appointment with a bank representative,i would like to meet with a bank representative,1,
348,appointment,what are the different ways to schedule an appointment at the bank,how do i set up an appointment at the bank?,1,
350,appointment,i am interested in speaking with a bank representative,i would like to meet with a bank representative,1,
358,appointment,can you tell me how to make an appointment with the bank,how do i set up an appointment at the bank?,1,
368,appointment,could you please provide me with the details of the appointment you would like to set up,how do i set up an appointment at the bank?,1,X
378,appointment,can you provide more information about the bank and the appointment you want to set up,how do i set up an appointment at the bank?,1,X
382,appointment,may i schedule a meeting with a bank representative,can i schedule an appointment with someone at the bank?,1,
396,appointment,can i book a meeting with someone at the bank,can i schedule an appointment with someone at the bank?,1,
399,appointment,when would you like to schedule an appointment with someone at the bank,can i schedule an appointment with someone at the bank?,1,X
406,appointment,can i arrange an appointment with the bank,how do i set up an appointment at the bank?,1,
413,appointment,can you please provide more information about the type of meeting you would like to schedule with a bank representative,i would like to meet with a bank representative,1,X
415,appointment,what is the location of the bank,how do i set up an appointment at the bank?,1,X
421,appointment,to set up an appointment at the bank you can call the customer service hotline or visit their website to book a slot,how do i set up an appointment at the bank?,1,X
440,appointment,how can i ensure that my appointment at the bank is successful,how do i set up an appointment at the bank?,1,
454,appointment,what is the best way to schedule an appointment with the bank,how do i set up an appointment at the bank?,1,
460,appointment,what is the best time for you to schedule the appointment,how do i set up an appointment at the bank?,1,
468,appointment,can i reserve a time to speak with someone at the bank,can i schedule an appointment with someone at the bank?,1,
471,appointment,can i schedule a meeting with a bank representative,i would like to meet with a bank representative,1,
481,appointment,can i schedule an appointment with someone at the bank,can i schedule an appointment with someone at the bank?,1,
485,appointment,i would like to consult with a bank representative,i would like to meet with a bank representative,1,
491,appointment,would you like to schedule an appointment with a bank representative,i would like to meet with a bank representative,1,
495,appointment,how can i book an appointment with the bank,how do i set up an appointment at the bank?,1,
499,appointment,how would you like to meet with a bank representative,i would like to meet with a bank representative,1,
503,appointment,is it possible to schedule an appointment with someone at the bank,can i schedule an appointment with someone at the bank?,1,
504,appointment,can you recommend a way to arrange a meeting with the bank,how do i set up an appointment at the bank?,1,
506,appointment,can you please tell me the specific steps to set up an appointment at the bank,how do i set up an appointment at the bank?,1,
510,appointment,would you like me to schedule an appointment with a bank representative,i would like to meet with a bank representative,1,
517,appointment,im sorry i cannot provide you with a definite answer as i do not have access to the schedules of the banks employees however you may try calling the banks customer service hotline for assistance in scheduling an appointment,can i schedule an appointment with someone at the bank?,1,X
