intent,text,no_taboo_words
transport_traffic,How is the situation regarding vehicular movement progressing as of now?,True
music_query,Do you happen to know who produced that particular track?,True
news_query,What are the current popular topics that everyone is talking about?,True
news_query,Do you have any information about Donald Trump that I should be aware of?,True
weather_query,Kindly exhibit the atmospheric state set for Monday.,True
play_music,Which musician are you interested in?,True
audio_volume_down,Diminish the volume of media content.,True
cooking_recipe,Do you have any instructions on how to bake a batch of tasty cookies?,True
datetime_query,What is the present hour of day in the location known for Broadway and skyscrapers?,True
transport_traffic,Can you provide information on the current flow of movement in the locality?,True
qa_currency,How much value does a calone have in comparison to a US dollar?,True
play_music,Access the latest playlist from Bob Dylan.,True
datetime_query,Do you know what hour it is currently in Ivory Coast?,True
music_query,By whom was that composition created?,True
qa_currency,"In terms of worth, how does a calone compare with the US currency?",True
qa_currency,What is the relative value between a calone and a US dollar?,True
news_query,"""What are the current events from this morning?""",True
audio_volume_up,"Pardon me, I didn't get what you just said.",True
transport_traffic,How smooth is the commute on the one hundred and one path?,True
music_query,Can you enlighten me about the melody that's being sung?,True
audio_volume_up,Could you amplify the sound?,True
play_music,Commence playing tracks from the movie Titanic.,True
play_music,What are some groovy tunes of the funk genre that I could put on?,True
transport_traffic,Can you give an insight on the status of the street system at present?,True
transport_traffic,"""Can you give me an update on the way I travel regularly?""",True
qa_currency,Can you inform me about how much the yen worth in other countries' cash?,True
music_query,"""What are the details of the current audio track?""",True
audio_volume_down,Reduce the audio level by fifty percent.,True
datetime_query,Could you inform me about the temporal conditions of Chicago?,True
cooking_recipe,"Oh mechanized being, could you furnish me with a roster of ingredients for Welsh rarebit?",True
play_music,Commence the playback of the collection starting with the initial song. ,True
audio_volume_down,Can you restrain the volume of your speech?,True
news_query,Can you update me on the current events happening around the city?,True
qa_currency,Which monetary system is prevalent in England?,True
datetime_query,Can you determine the present moment in Ivory Coast?,True
datetime_query,What is the day that follows Tuesday in seven days?,True
transport_traffic,"""Any congestion on the route?""",True
play_music,Can you make the Titanic soundtrack play?,True
weather_query,Would it be wise to organize an effort to get rid of the blockage in front of my home's entrance?,True
cooking_recipe,Can you suggest sources for preparing a delicious four-cheese omelet?,True
weather_query,Can you describe the atmospheric conditions expected in Barcelona after two days?,True
news_query,"""Has the allocation of funds been approved already?""",True
audio_volume_down,"Can you make the sound less loud, please?",True
news_query,Is there any information regarding activities unfolding at the Capitol?,True
audio_volume_down,Can you turn the sound level any softer?,True
weather_query,Do I require a protective shield from the elements?,True
qa_currency,Can you tell me the value of pound sterling in terms of the US dollar?,True
audio_volume_down,Adjust the level of sound.,True
audio_volume_up,Is it possible to enhance the audio level?,True
audio_volume_up,Could you enhance the decibels of the sound?,True
transport_traffic,"""Did you encounter any hassle while commuting just now?""",True
play_music,Who is performing music at the moment?,True
news_query,"Are there any updates to discover on the social media platform, Facebook?",True
play_music,Is it possible for you to broadcast tunes that were played in the Titanic film?,True
transport_traffic,In what duration should an individual commute to their job location?,True
transport_traffic,To what extent does my usual route impede me?,True
weather_query,Could we expect precipitation in the coming days?,True
datetime_query,What hour of the day is it presently in the city of New York?,True
weather_query,Are umbrellas a necessity in New Brighton PA?,True
music_query,"""In what melody category do I hold a strong affinity for?""",True
cooking_recipe,What is the ideal heat level for roasting potatoes in the oven?,True
qa_currency,How much is the pound sterling worth compared to the US dollar?,True
audio_volume_up,Make the noise louder.,True
cooking_recipe,"I would love to know how to make some delicious cookies, could you explain it to me?",True
weather_query,"Are the streets and sidewalks in New Brighton, PA currently wet due to atmospheric conditions?",True
cooking_recipe,What is the ideal way to make delicious meatballs? ,True
datetime_query,Is it possible for you to indicate the current German timeline?,True
datetime_query,"How do we differentiate between past, present, and future?",True
play_music,Initiate music collection beginning at the first song.,True
audio_volume_up,"Excuse me, can you please speak up a bit?",True
weather_query,Is it necessary for me to have a plan in case I have to dig my way out of the house?,True
qa_currency,What is the monetary unit utilized in England?,True
transport_traffic,What should be the ideal duration of time taken to reach the workplace? ,True
play_music,The song from Titanic - can you get that to come on?,True
transport_traffic,Can you tell me about the current state of vehicular movement on the route?,True
audio_volume_up,"Could you amplify the audio, please?",True
music_query,Mention the person behind the microphone.,True
cooking_recipe,Can you provide details on how to create a delicious piece of baked goodness?,True
weather_query,Would it be helpful to have protection against atmospheric conditions?,True
music_query,"""What is the data available for the currently played media?""",True
qa_currency,"In terms of value, how does the lera stack up against the dollar?",True
news_query,Is there any fresh content to view on Facebook?,True
music_query,When did this particular audio arrangement first make an appearance?,True
play_music,Tune in to some funky jams.,True
play_music,Can you put on a song from the Beatles' catalog?,True
audio_volume_up,Could you amplify its audio capacity?,True
weather_query,"Upon experiencing a specific atmospheric condition, it is unlikely that I will engage in any employment-related activities.",True
cooking_recipe,Do you have any tips for crafting a tasty baked dessert featuring chocolate chips?,True
music_query,Kindly forward to my inbox the wording of this particular composition.,True
music_query,Can you tell me who's responsible for using their vocal chords to make sound?,True
news_query,"""Is the budget decision already made through voting?""",True
audio_volume_up,Crank up the auditory output.,True
audio_volume_up,Can you amplify the audio a bit more?,True
play_music,I'll find joy in any song from Cat Stevens.,True
news_query,Do you know which issues are currently being widely shared and talked about amongst people?,True
audio_volume_down,Can you use a softer tone?,True
audio_volume_up,Can you enhance the sound a bit?,True
audio_volume_up,Can you turn up the decibels a notch?,True
cooking_recipe,I desire to prepare that dish.,True
music_query,What is the chronological origin of this particular audio composition?,True
datetime_query,What's the difference in timing between our current location and Dakar?,True
qa_currency,What's the equivalent value of dollars in pounds?,True
transport_traffic,"""Are there any obstructions on the way?""",True
datetime_query,What hour would it be in Ivory Coast at this moment?,True
weather_query,"What is the state of precipitation in the vicinity of New Brighton, Pennsylvania?",True
music_query,Is it possible for you to provide me with the title of the current audible tune?,True
qa_currency,What type of money is utilized in England?,True
audio_volume_down,Can you turn the sound less harshly?,True
news_query,Is there any new information on Trump's restrictions on travel?,True
audio_volume_up,Could you kindly adjust the audio level of the device to 21?,True
weather_query,Is there any information regarding how the atmosphere would be like in the coming day?,True
play_music,Activate compilation with the opening track.,True
qa_currency,"In terms of Indian money, how much can you get for each American dollar?",True
audio_volume_up,Can you make the sound a bit more audible than it is now?,True
qa_currency,How much does one yen equal in other currencies?,True
audio_volume_up,Is it possible to amplify the audio output?,True
audio_volume_up,The audio is too quiet; can you make it more perceptible?,True
transport_traffic,What is the status of movement along the one hundred and one route?,True
news_query,"""Has there been a decision made regarding the budget's appropriations?""",True
news_query,What are the highly discussed and shared themes in recent times?,True
transport_traffic,What's the current state of the pavement?,True
weather_query,Can you update me about the climatic conditions for tomorrow?,True
audio_volume_up,Is it possible to make the audio playing through the left speaker stronger by a factor of 10?,True
qa_currency,How much would it cost to purchase pounds with dollars?,True
news_query,"""Can you share any updates from earlier today?""",True
news_query,What is happening at the Capitol?,True
transport_traffic,What is a reasonable length of travel-time to get to the office?,True
transport_traffic,What's the current situation with the pathways?,True
audio_volume_down,"Can you modify your speaking volume, please?",True
music_query,Enlighten me on the genre that suits my taste.,True
qa_currency,What is the numerical value of one unit of American money when compared to Japanese money?,True
music_query,How can you describe my sonic inclinations?,True
play_music,How can I access the latest collection of songs from Bob Dylan?,True
audio_volume_up,Is it possible to enhance the sound output further?,True
transport_traffic,"""How does your journey fare in terms of convenience and time efficiency?""",True
transport_traffic,What is the level of obstruction in my daily commute?,True
news_query,Can you provide any updates regarding Trump's travel ban?,True
music_query,Identify the vocalist.,True
audio_volume_down,Diminish the sound intensity.,True
qa_currency,In what denomination do people transact business in England?,True
news_query,What is the current status of the travel ban implemented by Trump?,True
datetime_query,In which moment would you be in the Big Apple at this very instant?,True
audio_volume_down,Set the audio output to emanate at half of its total power output capacity.,True
transport_traffic,Does your commutation towards the workplace occur smoothly?,True
qa_currency,What is the value of five hundred pesos?,True
cooking_recipe,My aim is to concoct that particular feast.,True
news_query,"""Is there any noteworthy information that took place in the morning hours?""",True
music_query,Who's the individual that produces sounds with their voice?,True
music_query,"""Can you provide information regarding the current playback selection?""",True
audio_volume_up,"It would be great if you could make the sound stronger, up to the twenty-one mark.",True
audio_volume_down,Would it be possible for you to soften your vocalization?,True
audio_volume_up,Is it possible to amplify the decibels to their maximum level?,True
audio_volume_down,Could you please reduce the volume of your voice?,True
cooking_recipe,"O' droid, could you furnish me with a catalog detailing the ingredients needed for whipping up some delicious welsh rarebit?",True
music_query,"I need to learn the name of the ongoing audio track, can you assist me?",True
datetime_query,How far ahead or behind is Dakar compared to where we are right now?,True
play_music,Initiate the playlist from the very beginning track. ,True
news_query,Could you brief me on what's unfolding in the city these days?,True
datetime_query,How many hours ahead or behind is Dakar compared to this location?,True
weather_query,Is there any possibility of a snowfall during this period?,True
audio_volume_up,"Could you please speak again, it's difficult to catch your words?",True
datetime_query,Any clue about hour-status in Chicago?,True
cooking_recipe,"The meal in question, I aim to prepare it.",True
datetime_query,Can you tell me the present moment in Germany?,True
cooking_recipe,How hot should the oven be while preparing chocolate chip cookies?,True
cooking_recipe,"For potato roasting in the oven, which temperature setting yields optimal results?",True
datetime_query,Can you tell me the current hour in the city that never sleeps?,True
datetime_query,Is there a difference in the timing between this place and Dakar?,True
audio_volume_up,Could you enhance the audio level please?,True
weather_query,Can you let me know what the atmosphere would be like in Barcelona after two days?,True
news_query,What events occurred recently that are noteworthy this morning?,True
cooking_recipe,Recommended steps to create a flavorful meatball dish?,True
audio_volume_down,Reduce the volume of sound generated by media devices.,True
transport_traffic,What is the current state of vehicular movement?,True
cooking_recipe,What techniques can I use to create a meal?,True
audio_volume_up,Can you make the sound as robust as it can be?,True
transport_traffic,What's the status of vehicular movement currently?,True
transport_traffic,"""What's your experience like getting to where you need to be?""",True
weather_query,Will the skies let out humidity today?,True
cooking_recipe,I am interested in preparing that dish.,True
datetime_query,"In Chicago, what indicates the present duration?",True
transport_traffic,Are there any obstacles affecting movement on the streets?,True
cooking_recipe,What temperature setting is optimal for roasting potatoes in an oven?,True
weather_query,What can I expect from the climate conditions during my visit to Barcelona in a couple of days?,True
datetime_query,Can you inform me about the present moment?,True
qa_currency,How is money transacted in the country of England?,True
qa_currency,How does the lera fare in comparison to the dollar?,True
weather_query,Can we expect the sky to grace us with its frozen angels in this ongoing week?,True
qa_currency,How many dollars can you get for one unit of pound sterling?,True
play_music,Is it possible to have the theme song of Titanic start?,True
news_query,Is there any recent development on Facebook?,True
qa_currency,In what form does England conduct its monetary transactions? ,True
music_query,What information is available about the present track?,True
weather_query,Is it wise to carry an object for shielding purposes?,True
cooking_recipe,"Can you provide me with the components required to prepare Welsh rarebit, oh robot?",True
play_music,"I'm interested in hearing the music featured on the Titanic movie, could you assist me with that?",True
weather_query,Are the streets wet in New Brighton PA?,True
transport_traffic,Could you tell me about the current situation of commuting?,True
audio_volume_up,Could you turn up the sound a bit more?,True
news_query,Can you update me on the events taking place at the Capitol?,True
transport_traffic,What's the status of mobility in our surroundings at present?,True
audio_volume_down,Would you kindly reduce the intensity of your vocalization?,True
audio_volume_down,Could you bring the volume to a more bearable level?,True
music_query,What is the specific timeframe in which this piece of sound was initially released?,True
play_music,Can you start the music from Titanic?,True
weather_query,"I need to know if I should carry my umbrella tomorrow, could you help me with that?",True
weather_query,Is today's atmosphere likely to be damp?,True
news_query,Can you tell me what is currently going on with Donald Trump?,True
audio_volume_up,Would you like me to adjust the acoustic intensity?,True
cooking_recipe,What is the ultimate method to prepare meatballs?,True
qa_currency,What is the monetary unit used in Egypt?,True
play_music,Would you mind putting some Beatles melodies to brighten up our mood?,True
news_query,Is there any development or progress on the case of the bombing in Sweden?,True
news_query,"""Did the proposed budget receive the necessary votes?""",True
audio_volume_up,Would you mind making the music louder?,True
audio_volume_down,I would appreciate it if you could soften the sound of your voice while speaking.,True
datetime_query,When will we reach the mid-point of next week?,True
news_query,"I'm curious about the current events taking place locally, can you fill me in?",True
music_query,Identify the person who vocalizes.,True
music_query,What details does the track currently hold?,True
music_query,"""Which type of sound is my go-to preference?""",True
play_music,"Would you mind turning on the Ariana Grande track called ""Let Me Love You""?",True
news_query,What is the current status of Trump's travel ban?,True
qa_currency,Can you provide me with the current value of yen conversion?,True
news_query,Can you provide me with details about the situation unfolding at the Capitol?,True
cooking_recipe,Is there any way to put together a food course?,True
weather_query,Will the sunlight be bright enough for me to need to carry my sunglasses?,True
news_query,Can you provide any updates regarding the recent incident in Sweden?,True
music_query,Inform me about my preferred rhythm choices.,True
transport_traffic,"""What was the state of transportation presently?""",True
weather_query,"Should wetness fall upon the earth's surface, I would opt not to pursue my work obligations.",True
news_query,Is there any recent development regarding the Sweden bombing occurrence?,True
datetime_query,Could you inform me about the actual timing in New York City?,True
datetime_query,When will the middle of next week arrive?,True
qa_currency,How do people pay for things in Egypt?,True
audio_volume_down,Minimize the volume?,True
play_music,"If songs by Cat Stevens are on the soundtrack, I will feel elated.",True
datetime_query,"What is the scheduled day after tomorrow, not counting yesterday?",True
cooking_recipe,Is there a specific temperature that needs to be maintained for preparing a full turkey using the frying technique?,True
audio_volume_up,Your voice needs to be more audible for me to understand what you are saying.,True
qa_currency,What type of cash do people use in Egypt?,True
qa_currency,"When compared to the dollar, how valuable is the lera?",True
music_query,Who is responsible for that melody?,True
cooking_recipe,What are the methods to prepare a dish?,True
audio_volume_up,Would it be feasible to augment the decibel levels?,True
weather_query,Can you inform me of the expected conditions outside for tomorrow?,True
news_query,What is the updated information about the happenings in our area?,True
news_query,Could you inform me about the latest events concerning Donald Trump?,True
play_music,Is it possible for you to activate music from a previously curated selection?,True
transport_traffic,Is there any congestion on the one hundred and one highway?,True
weather_query,What is the atmospheric condition going to be like at the beginning of the workweek?,True
news_query,Has there been any fresh information reported about the Sweden bombing event?,True
audio_volume_down,Could you tune the speakers to produce a milder tone?,True
weather_query,Do I need to prepare myself for getting out of the house using a shovel?,True
news_query,What are the current developments occurring at the Capitol?,True
audio_volume_up,Boost the sound intensity.,True
weather_query,Tell me about the atmosphere that will exist on the start of the weekdays.,True
qa_currency,What worth does five hundred pesos have?,True
weather_query,"Should wetness occur, I will refrain from heading toward my place of occupation.",True
transport_traffic,Any updates on the condition of the route?,True
transport_traffic,Are there any hindrances to commuting today?,True
datetime_query,Can you inform me the moment of the day?,True
news_query,Can you inform me about the latest occurrences in our community?,True
audio_volume_up,"Could you amplify the audio level, please?",True
qa_currency,What is the worth of one American dollar when converted into Japanese yen?,True
audio_volume_up,Turn up the auditory strength of the left speaker by a factor of 10. ,True
news_query,May I know the latest on Donald Trump's activities?,True
audio_volume_up,Would it be possible to set the noise level at twenty one notches above the current setting?,True
qa_currency,What is the equivalence of the pound sterling and the US dollar?,True
qa_currency,What is the value of a dollar when converted to the Indian currency?,True
weather_query,"In the case of inclement atmospheric conditions, I shall avoid going to my employment.",True
qa_currency,Convert United States dollars to Great British pounds.,True
transport_traffic,"""How's my journey to and from my destination?""",True
cooking_recipe,At what degree should I set my oven to make cookies?,True
datetime_query,What is the current hour in NYC at present?,True
news_query,What are the most recent happenings within the community?,True
music_query,Would you be able to tell me the melody that’s playing right now?,True
music_query,Could you tell me the name of the person who created this melody?,True
weather_query,Could you inform me about the atmospheric situation expected to occur in Barcelona by day-after-tomorrow?,True
datetime_query,Can you describe the concept of temporal measurement?,True
datetime_query,What is the unit used to quantify the sequence of events?,True
audio_volume_down,Moderate the intensity of the speaker's volume to a milder degree.,True
audio_volume_up,Enhance the decibel count of the left-side loudspeaker by 10 units.,True
transport_traffic,Was there any congestion en route to this location?,True
music_query,Can you send me the verses of this track over email?,True
play_music,Tune in to the newest curation of tunes from Bob Dylan.,True
audio_volume_down,Would it be possible to reduce the noise level?,True
qa_currency,What is the value of five hundred pesos?,True
weather_query,Is the precipitation expected to be in solid form during the coming week?,True
audio_volume_up,"I want to hear the audio better, can it go higher than the current level?",True
weather_query,Can you tell me if there is any sort of aqueous substance falling from the sky around the area of New Brighton in the Keystone State?,True
news_query,Which topics have gained significant attention and are being widely discussed? ,True
weather_query,Can you display the climatic conditions for Monday?,True
